tick,robot,x,y,heading,fwd_cmd,lat_cmd,yaw_cmd,dpos,d_collisions,dist_to_target
76,0,99.01,96.68,-1.093,0.379,0.0,1.0,0.36,0,20.3
76,1,136.5,81.9,-1.077,1.0,0.0,0.027,0.106,1,11.4
76,2,41.05,9.89,2.874,0.807,0.0,-0.903,0.893,0,
76,3,7.5,55.7,1.899,1.0,0.0,-0.001,0.114,1,
77,0,99.23,96.25,-0.936,0.505,0.0,1.0,0.48,0,20.0
77,1,136.5,81.79,-1.073,1.0,0.0,0.028,0.106,1,11.3
77,2,40.08,10.16,2.75,0.87,0.0,-0.736,1.013,0,
77,3,7.5,55.82,1.899,1.0,0.0,0.002,0.114,1,
78,0,99.59,95.77,-0.779,0.618,0.0,1.0,0.6,0,19.7
78,1,136.5,81.69,-1.068,1.0,0.0,0.028,0.105,1,11.2
78,2,39.03,10.59,2.643,0.915,0.0,-0.594,1.133,0,
78,3,7.5,55.93,1.9,1.0,0.0,0.005,0.114,1,
79,0,100.1,95.27,-0.622,0.717,0.0,1.0,0.72,0,19.1
79,1,136.5,81.58,-1.064,1.0,0.0,0.028,0.105,1,11.1
79,2,37.93,11.19,2.554,0.945,0.0,-0.475,1.253,0,
79,3,7.5,56.04,1.901,1.0,0.0,0.007,0.114,1,
80,0,100.56,94.94,-0.483,0.0,0.0,-1.0,0.56,0,57.6
80,1,136.5,81.48,-1.059,1.0,0.0,0.029,0.105,1,11.0
80,2,37.02,11.8,2.447,0.0,0.0,-1.0,1.093,0,
80,3,7.5,56.16,1.903,1.0,0.0,0.008,0.114,1,
81,0,100.91,94.75,-0.36,0.0,0.0,-1.0,0.4,0,58.0
81,1,136.5,81.37,-1.055,1.0,0.0,0.029,0.105,1,10.9
81,2,36.3,12.39,2.322,0.0,0.0,-1.0,0.933,0,
81,3,7.5,56.27,1.904,1.0,0.0,0.01,0.113,1,
82,0,101.14,94.67,-0.221,0.0,0.0,1.0,0.24,0,58.2
82,1,136.5,81.27,-1.05,1.0,0.0,0.03,0.104,1,10.8
82,2,35.77,12.96,2.181,0.045,0.0,-1.0,0.773,0,
82,3,7.5,56.38,1.906,1.0,0.0,0.011,0.113,1,
83,0,101.21,94.65,-0.064,0.0,0.0,1.0,0.08,0,58.3
83,1,136.5,81.17,-1.045,1.0,0.0,0.03,0.104,1,10.7
83,2,35.42,13.46,2.023,0.142,0.0,-1.0,0.613,0,
83,3,7.5,56.5,1.908,1.0,0.0,0.012,0.113,1,
84,0,101.21,94.65,0.093,0.0,0.0,1.0,0.0,0,58.3
84,1,136.5,81.06,-1.041,1.0,0.0,0.03,0.104,1,10.6
84,2,35.22,13.87,1.866,0.261,0.0,-1.0,0.453,0,
84,3,7.5,56.61,1.91,1.0,0.0,0.012,0.113,1,
85,0,101.21,94.65,0.25,0.0,0.0,1.0,0.0,0,58.3
85,1,136.5,80.96,-1.036,1.0,0.0,0.031,0.104,1,10.6
85,2,35.06,14.42,1.709,0.386,0.0,-1.0,0.573,0,
85,3,7.5,56.72,1.912,1.0,0.0,0.013,0.113,1,
86,0,101.21,94.65,0.407,0.0,0.0,1.0,0.0,0,58.3
86,1,136.5,80.86,-1.031,1.0,0.0,0.031,0.103,1,10.5
86,2,34.96,15.1,1.552,0.498,0.0,-1.0,0.693,0,
86,3,7.5,56.84,1.914,1.0,0.0,0.013,0.113,1,
87,0,101.21,94.65,0.565,0.0,0.0,1.0,0.0,0,58.3
87,1,136.5,80.75,-1.026,1.0,0.0,0.032,0.103,1,10.4
87,2,34.98,15.92,1.395,0.599,0.0,-1.0,0.813,0,
87,3,7.5,56.95,1.916,1.0,0.0,0.014,0.113,1,
88,0,101.21,94.65,0.722,0.0,0.0,1.0,0.0,0,58.3
88,1,136.5,80.65,-1.021,1.0,0.0,0.032,0.103,1,10.3
88,2,35.14,16.83,1.238,0.688,0.0,-1.0,0.933,0,
88,3,7.5,57.06,1.918,1.0,0.0,0.014,0.113,1,
89,0,101.21,94.65,0.879,0.0,0.0,1.0,0.0,0,58.3
89,1,136.5,80.55,-1.016,1.0,0.0,0.033,0.102,1,10.2
89,2,35.48,17.83,1.081,0.766,0.0,-0.998,1.053,0,
89,3,7.5,57.18,1.92,1.0,0.0,0.015,0.113,1,
90,0,101.21,94.65,1.036,0.0,0.0,1.0,0.0,0,58.3
90,1,136.5,80.45,-1.01,1.0,0.0,0.033,0.102,1,10.1
90,2,36.03,18.87,0.942,0.832,0.0,-0.841,1.173,0,
90,3,7.5,57.29,1.923,1.0,0.0,0.015,0.113,1,
